genre_category,artist_genres
Hip-Hop,"hip hop, pop rap, rap, southern hip hop, trap, virginia hip hop"
Hip-Hop,"hip hop, pop rap, rap, southern hip hop, trap, underground hip hop, virginia hip hop"
Hip-Hop,"hip hop, pop rap, rap"
Hip-Hop,"hip hop, pop"
Hip-Hop,"hip hop, pluggnb, rap, trap, vapor trap, viral rap"
Hip-Hop,"hip hop, pittsburgh rap, rap"
Hip-Hop,"hip hop, philly rap, pop rap, rap, southern hip hop, trap"
Hip-Hop,"hip hop, ohio hip hop, rap"
Hip-Hop,"hip hop, new orleans rap, pop rap, rap, trap"
Hip-Hop,"hip hop, miami hip hop, pop rap, rap, southern hip hop, trap"
Hip-Hop,"hip hop, memphis hip hop, rap, southern hip hop, tennessee hip hop, trap"
Hip-Hop,"hip hop, melodic rap, pop rap, rap, southern hip hop, trap"
Hip-Hop,"hip hop, melodic rap, mississippi hip hop, pop rap, rap, southern hip hop, trap"
Hip-Hop,"hip hop, lgbtq+ hip hop, neo soul, pop"
Hip-Hop,hip hop
Rock,"heartland rock, mellow gold, rock"
Hip-Hop,"hawaiian hip hop, rap"
Hip-Hop,hardcore hip hop
International,guaracha
Rock,"grunge, permanent wave, rock"
International,"grime, uk hip hop, ukg revival"
International,"grime, uk hip hop"
International,"grime, london rap, uk alternative hip hop, uk hip hop"
International,"greek pop, laiko"
International,gqom
Other,gospel
Other,golden age hip hop
Rock,"glam rock, mellow gold, piano rock"
International,"german pop, uk pop"
International,"german pop, german singer-songwriter"
International,german pop
International,"german hip hop, swedish hip hop"
International,"german hip hop, hamburg hip hop"
International,"german hip hop, german underground rap, latin hip hop, reggaeton"
International,"german hip hop, german trap, hamburg hip hop"
International,"german hip hop, german trap"
International,"german hip hop, german pop, german underground rap"
International,german hip hop
International,german drill
International,"german dance, german techno, german trance, trance"
International,"german cloud rap, german hip hop, hamburg hip hop"
International,"german cloud rap, german hip hop"
International,"german alternative rap, german hip hop, german trap, tekk"
International,"german alternative rap, german drill, german hip hop"
Other,"gauze pop, indietronica, shiver pop"
Other,gauze pop
